Symbol,Date,Time,Bid_Price,Ask_Price,Bid_Size,Ask_Size
ESU13,09/01/2013,17:57:04.543,1641.5,1641.75,48,6
ESU13,09/01/2013,17:57:04.543,1641.5,1641.75,45,6
ESU13,09/01/2013,17:57:04.543,1641.5,1641.75,40,6
ESU13,09/01/2013,17:57:04.543,1641.5,1641.75,38,6
ESU13,09/01/2013,17:57:04.543,1641.5,1641.75,35,6
ESU13,09/01/2013,17:57:04.543,1641.5,1641.75,34,6
ESU13,09/01/2013,17:57:04.543,1641.5,1641.75,33,6
ESU13,09/01/2013,17:57:04.543,1641.5,1641.75,33,8
ESU13,09/01/2013,17:57:04.543,1641.5,1641.75,33,11
ESU13,09/01/2013,17:57:05.061,1641.5,1641.75,33,12
ESU13,09/01/2013,17:57:16.137,1641.5,1641.75,33,14
ESU13,09/01/2013,17:57:16.137,1641.5,1641.75,33,17
ESU13,09/01/2013,17:57:16.137,1641.5,1641.75,32,17
ESU13,09/01/2013,17:57:25.983,1641.75,1641.75,3,17
ESU13,09/01/2013,17:57:25.983,1641.75,1642,3,105
ESU13,09/01/2013,17:57:25.983,1641.75,1642,3,105
ESU13,09/01/2013,17:57:25.988,1641.75,1642,3,110
ESU13,09/01/2013,17:57:25.988,1641.75,1642,3,115
ESU13,09/01/2013,17:57:25.988,1641.75,1642,3,114
ESU13,09/01/2013,17:57:25.988,1641.75,1642,3,109
ESU13,09/01/2013,17:57:25.988,1641.5,1642,43,109
ESU13,09/01/2013,17:57:25.988,1641.5,1642,43,109
ESU13,09/01/2013,17:57:25.988,1641.5,1642,43,104
ESU13,09/01/2013,17:57:25.988,1641.5,1642,43,99
ESU13,09/01/2013,17:57:25.988,1641.5,1642,43,104
ESU13,09/01/2013,17:57:25.988,1641.5,1642,43,109
ESU13,09/01/2013,17:57:25.988,1641.5,1642,38,109
ESU13,09/01/2013,17:57:26.012,1641.5,1642,38,107
ESU13,09/01/2013,17:57:26.067,1641.5,1642,36,107
